"","metric","prevalence","twoSided","greater","lesser"
"1","AUC_scaled","Broad",0,1,0
"2","AUC_scaled","Narrow",0,1,0
"3","AUC_scaled","Middle",0,1,0
"4","COR_scaled","Broad",0,1,0
"5","COR_scaled","Narrow",0.66,0.67,0.33
"6","COR_scaled","Middle",0,1,0
"7","PRG_scaled","Broad",0,1,0
"8","PRG_scaled","Narrow",0,1,0
"9","PRG_scaled","Middle",0,1,0
"10","Spec_scaled","Broad",0,1,0
"11","Spec_scaled","Narrow",0,1,0
"12","Spec_scaled","Middle",0,1,0
"13","Sens_scaled","Broad",0,1,0
"14","Sens_scaled","Narrow",0,1,0
"15","Sens_scaled","Middle",0.02,0.99,0.01
"16","TSS_scaled","Broad",0,1,0
"17","TSS_scaled","Narrow",0,1,0
"18","TSS_scaled","Middle",0,1,0
"19","Kappa_scaled","Broad",0,1,0
"20","Kappa_scaled","Narrow",0,1,0
"21","Kappa_scaled","Middle",0,1,0
"22","PCC_scaled","Broad",0,1,0
"23","PCC_scaled","Narrow",0,1,0
"24","PCC_scaled","Middle",0,1,0
