"","group","n","r2","pval","Slope","Slope_lowCI","Slope_highCI","Int","Int_lowCI","Int_highCI","Slope_test","Slope_test_p","Elev_test","Elev_test_p","rmsd","rmse","intercept","metric","method","point"
"AUC_scaled_PAA_40","all",1342,0.586836281110389,1.8016887948601e-259,0.961254870463621,0.928712825368608,0.994937186985968,-0.00325309165096954,-0.0288219391703801,0.022315755868441,1,0.0245475845622847,0,0.802943350486279,0.204437271714325,0.197867877755262,-0.00325309165096954,"AUC_scaled","PAA","40"
"AUC_scaled_PAA_80","all",1386,0.638890734728124,2.06222678342645e-308,0.969454193408016,0.939221797084692,1.00065973344488,-0.0236458682019278,-0.0477468339852228,0.000455097581367126,1,0.0549583951725693,0,0.0544795536578938,0.187802530665926,0.179140654514828,-0.0236458682019278,"AUC_scaled","PAA","80"
"AUC_scaled_PAA_120","all",1400,0.670455334491946,0,0.931453741979332,0.903822475094521,0.959929739915537,0.00207297187611555,-0.0195022758835459,0.023648219635777,1,4.01822342976921e-06,0,0.850528904655177,0.188603909792155,0.175406263535753,0.00207297187611555,"AUC_scaled","PAA","120"
"AUC_scaled_PAA_160","all",1400,0.686678910683271,0,0.933239514609457,0.906235044313278,0.961048678368499,0.00303424323252388,-0.0185930487324209,0.0246615351974687,1,4.21226519875528e-06,0,0.783191537238891,0.17997042797899,0.167145235664595,0.00303424323252388,"AUC_scaled","PAA","160"
"AUC_scaled_PAA_200","all",1398,0.679489798887889,0,0.919041934305784,0.892130495271876,0.946765166630824,0.0197408909007073,-0.00155720610129447,0.0410389879027091,1,2.91307741262514e-08,0,0.0692419823929354,0.181437902436711,0.168445577299961,0.0197408909007073,"AUC_scaled","PAA","200"
"AUC_scaled_PAA_400","all",1407,0.661461058959959,0,0.944173445470269,0.915860903373982,0.97336122968793,-0.00433999278855235,-0.0267933682450398,0.0181133826679351,1,0.000221504282636675,0,0.704621658121323,0.185483240658279,0.174275424779442,-0.00433999278855235,"AUC_scaled","PAA","400"
"AUC_scaled_PA_40","all",1148,0.432559074148682,3.55034867264164e-143,0.818769260724218,0.783802475394584,0.855295974881167,0.0379476657327368,0.00686307582024369,0.0690322556452299,1,0,0,0.0167697595327548,0.289901307465284,0.238239868476264,0.0379476657327368,"AUC_scaled","PA","40"
"AUC_scaled_PA_80","all",1321,0.552356222074591,1.82128522849555e-232,0.871651813123426,0.8407191864931,0.903722545563187,0.000973891062625687,-0.0258280480230827,0.027775830148334,1,1.35225164399344e-13,0,0.943182679657961,0.241432166580271,0.201999315973481,0.000973891062625687,"AUC_scaled","PA","80"
"AUC_scaled_PA_120","all",1363,0.660562429895043,1.28457067918724e-321,0.879483791382318,0.852659088256225,0.907152401185433,0.00318662757578303,-0.0189831254104926,0.0253563805620586,1,7.7715611723761e-16,0,0.778008369819524,0.212072092923987,0.178129186191421,0.00318662757578303,"AUC_scaled","PA","120"
"AUC_scaled_PA_160","all",1371,0.701276841558057,0,0.876415662460196,0.851386982554793,0.902180123896961,0.0196814489346567,-0.00121257843647382,0.0405754763057873,1,0,0,0.0648393742573513,0.192939754370501,0.162927407002364,0.0196814489346567,"AUC_scaled","PA","160"
